book i i went down yesterday to the piraeus with glaucon the son of ariston that i might offer up my prayers to the goddess bendis the thracian artemis and also because i wanted to see in what manner they would celebrate the festival which was a new thing i was
the inhabitants but that of the thracians was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we
inhabitants but that of the thracians was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were
but that of the thracians was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting
that of the thracians was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on
of the thracians was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our
the thracians was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way
thracians was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home
was equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and
equally if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told
if not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his
not more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant
more beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to
beautiful when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run
when we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and
we had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid
had finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us
finished our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait
our prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for
prayers and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him
and viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the
viewed the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant
the spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took
spectacle we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold
we turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of
turned in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me
in the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by
the direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the
direction of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak
of the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind
the city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and
city and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said
and at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus
at that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires
that instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you
instant polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to
polemarchus the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait
the son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i
son of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned
of cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round
cephalus chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and
chanced to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked
to catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him
catch sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where
sight of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his
of us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master
us from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was
from a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there
a distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he
distance as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is
as we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said
we were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the
were starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth
starting on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming
on our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after
our way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you
way home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if
home and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you
and told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will
told his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only
his servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait
servant to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly
to run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we
run and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will
and bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said
bid us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon
us wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and
wait for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in
for him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a
him the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few
the servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes
servant took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus
took hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared
hold of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and
of me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with
me by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him
by the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus
the cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's
cloak behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother
behind and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus
and said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the
said polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son
polemarchus desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of
desires you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias
you to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and
to wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several
wait i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others
i turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who
turned round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had
round and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been
and asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at
asked him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the
him where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession
where his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus
his master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said
master was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to
was there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me
there he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i
he is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive
is said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates
said the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that
the youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you
youth coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and
coming after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your
after you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion
you if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion are
if you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion are already
you will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion are already on
will only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion are already on your
only wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion are already on your way
wait certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion are already on your way to
certainly we will said glaucon and in a few minutes polemarchus appeared and with him adeimantus glaucon's brother niceratus the son of nicias and several others who had been at the procession polemarchus said to me i perceive socrates that you and your companion are already on your way to the
